candidate_idx,candidate_score,item_id,canonical_id,desired_basis,observed_basis,relation,confidence,item_score
0,0.0877777777777778,s4_e4_qwen_001,s4_e4,B,A-dominant,conflict-like,high,0.06
0,0.0877777777777778,s4_e4_gpt54mini_001,s4_e4,B,A-dominant,conflict-like,high,0.06
0,0.0877777777777778,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
0,0.0877777777777778,e5_g1_qwen_001,e5_g1,A,B-dominant,conflict-like,high,0.06
0,0.0877777777777778,e5_g1_gpt54mini_001,e5_g1,A,B-dominant,conflict-like,high,0.06
0,0.0877777777777778,e5_g1_gemini_001,e5_g1,A,B-dominant,conflict-like,high,0.06
0,0.0877777777777778,g5_h2_qwen_001,g5_h2,B,A-dominant,conflict-like,high,0.06
0,0.0877777777777778,g5_h2_gpt54mini_001,g5_h2,B,A-dominant,conflict-like,high,0.06
0,0.0877777777777778,g5_h2_gemini_001,g5_h2,B,A-dominant,conflict-like,high,0.06
1,0.0877777777777778,s4_e4_qwen_001,s4_e4,B,A-dominant,conflict-like,high,0.06
1,0.0877777777777778,s4_e4_gpt54mini_001,s4_e4,B,A-dominant,conflict-like,high,0.06
1,0.0877777777777778,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
1,0.0877777777777778,e5_g1_qwen_001,e5_g1,A,B-dominant,conflict-like,high,0.06
1,0.0877777777777778,e5_g1_gpt54mini_001,e5_g1,A,B-dominant,conflict-like,high,0.06
1,0.0877777777777778,e5_g1_gemini_001,e5_g1,A,B-dominant,conflict-like,high,0.06
1,0.0877777777777778,g5_h2_qwen_001,g5_h2,B,A-dominant,conflict-like,high,0.06
1,0.0877777777777778,g5_h2_gpt54mini_001,g5_h2,B,A-dominant,conflict-like,high,0.06
1,0.0877777777777778,g5_h2_gemini_001,g5_h2,B,A-dominant,conflict-like,high,0.06
2,0.2755555555555556,s4_e4_qwen_001,s4_e4,B,A-dominant,conflict-like,high,0.06
2,0.2755555555555556,s4_e4_gpt54mini_001,s4_e4,B,A-dominant,conflict-like,high,0.06
2,0.2755555555555556,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
2,0.2755555555555556,e5_g1_qwen_001,e5_g1,A,B-dominant,conflict-like,high,0.06
2,0.2755555555555556,e5_g1_gpt54mini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
2,0.2755555555555556,e5_g1_gemini_001,e5_g1,A,B-dominant,conflict-like,high,0.06
2,0.2755555555555556,g5_h2_qwen_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
2,0.2755555555555556,g5_h2_gpt54mini_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
2,0.2755555555555556,g5_h2_gemini_001,g5_h2,B,B-dominant,conflict-like,high,1.0
3,0.2755555555555556,s4_e4_qwen_001,s4_e4,B,A-dominant,conflict-like,high,0.06
3,0.2755555555555556,s4_e4_gpt54mini_001,s4_e4,B,A-dominant,conflict-like,high,0.06
3,0.2755555555555556,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
3,0.2755555555555556,e5_g1_qwen_001,e5_g1,A,B-dominant,conflict-like,high,0.06
3,0.2755555555555556,e5_g1_gpt54mini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
3,0.2755555555555556,e5_g1_gemini_001,e5_g1,A,B-dominant,conflict-like,high,0.06
3,0.2755555555555556,g5_h2_qwen_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
3,0.2755555555555556,g5_h2_gpt54mini_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
3,0.2755555555555556,g5_h2_gemini_001,g5_h2,B,B-dominant,conflict-like,high,1.0
4,0.2755555555555556,s4_e4_qwen_001,s4_e4,B,A-dominant,conflict-like,high,0.06
4,0.2755555555555556,s4_e4_gpt54mini_001,s4_e4,B,A-dominant,conflict-like,high,0.06
4,0.2755555555555556,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
4,0.2755555555555556,e5_g1_qwen_001,e5_g1,A,B-dominant,conflict-like,high,0.06
4,0.2755555555555556,e5_g1_gpt54mini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
4,0.2755555555555556,e5_g1_gemini_001,e5_g1,A,B-dominant,conflict-like,high,0.06
4,0.2755555555555556,g5_h2_qwen_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
4,0.2755555555555556,g5_h2_gpt54mini_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
4,0.2755555555555556,g5_h2_gemini_001,g5_h2,B,B-dominant,conflict-like,high,1.0
5,0.17111111111111113,s4_e4_qwen_001,s4_e4,B,A-dominant,conflict-like,high,0.06
5,0.17111111111111113,s4_e4_gpt54mini_001,s4_e4,B,A-dominant,conflict-like,high,0.06
5,0.17111111111111113,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
5,0.17111111111111113,e5_g1_qwen_001,e5_g1,A,B-dominant,conflict-like,high,0.06
5,0.17111111111111113,e5_g1_gpt54mini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
5,0.17111111111111113,e5_g1_gemini_001,e5_g1,A,B-dominant,conflict-like,high,0.06
5,0.17111111111111113,g5_h2_qwen_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
5,0.17111111111111113,g5_h2_gpt54mini_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
5,0.17111111111111113,g5_h2_gemini_001,g5_h2,B,A-dominant,conflict-like,high,0.06
6,0.2755555555555556,s4_e4_qwen_001,s4_e4,B,A-dominant,conflict-like,high,0.06
6,0.2755555555555556,s4_e4_gpt54mini_001,s4_e4,B,A-dominant,conflict-like,high,0.06
6,0.2755555555555556,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
6,0.2755555555555556,e5_g1_qwen_001,e5_g1,A,B-dominant,conflict-like,high,0.06
6,0.2755555555555556,e5_g1_gpt54mini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
6,0.2755555555555556,e5_g1_gemini_001,e5_g1,A,B-dominant,conflict-like,high,0.06
6,0.2755555555555556,g5_h2_qwen_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
6,0.2755555555555556,g5_h2_gpt54mini_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
6,0.2755555555555556,g5_h2_gemini_001,g5_h2,B,B-dominant,conflict-like,high,1.0
7,0.4077777777777778,s4_e4_qwen_001,s4_e4,B,B-dominant,indifference-like,high,1.0
7,0.4077777777777778,s4_e4_gpt54mini_001,s4_e4,B,A-dominant,conflict-like,high,0.06
7,0.4077777777777778,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
7,0.4077777777777778,e5_g1_qwen_001,e5_g1,A,B-dominant,conflict-like,high,0.06
7,0.4077777777777778,e5_g1_gpt54mini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
7,0.4077777777777778,e5_g1_gemini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
7,0.4077777777777778,g5_h2_qwen_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
7,0.4077777777777778,g5_h2_gpt54mini_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
7,0.4077777777777778,g5_h2_gemini_001,g5_h2,B,B-dominant,conflict-like,high,1.0
8,0.4077777777777778,s4_e4_qwen_001,s4_e4,B,B-dominant,indifference-like,high,1.0
8,0.4077777777777778,s4_e4_gpt54mini_001,s4_e4,B,A-dominant,conflict-like,high,0.06
8,0.4077777777777778,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
8,0.4077777777777778,e5_g1_qwen_001,e5_g1,A,B-dominant,conflict-like,high,0.06
8,0.4077777777777778,e5_g1_gpt54mini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
8,0.4077777777777778,e5_g1_gemini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
8,0.4077777777777778,g5_h2_qwen_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
8,0.4077777777777778,g5_h2_gpt54mini_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
8,0.4077777777777778,g5_h2_gemini_001,g5_h2,B,B-dominant,conflict-like,high,1.0
9,0.4077777777777778,s4_e4_qwen_001,s4_e4,B,B-dominant,indifference-like,high,1.0
9,0.4077777777777778,s4_e4_gpt54mini_001,s4_e4,B,A-dominant,conflict-like,high,0.06
9,0.4077777777777778,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
9,0.4077777777777778,e5_g1_qwen_001,e5_g1,A,B-dominant,conflict-like,high,0.06
9,0.4077777777777778,e5_g1_gpt54mini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
9,0.4077777777777778,e5_g1_gemini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
9,0.4077777777777778,g5_h2_qwen_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
9,0.4077777777777778,g5_h2_gpt54mini_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
9,0.4077777777777778,g5_h2_gemini_001,g5_h2,B,B-dominant,conflict-like,high,1.0
10,0.4355555555555556,s4_e4_qwen_001,s4_e4,B,B-dominant,indifference-like,high,1.0
10,0.4355555555555556,s4_e4_gpt54mini_001,s4_e4,B,B-dominant,conflict-like,high,1.0
10,0.4355555555555556,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
10,0.4355555555555556,e5_g1_qwen_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
10,0.4355555555555556,e5_g1_gpt54mini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
10,0.4355555555555556,e5_g1_gemini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
10,0.4355555555555556,g5_h2_qwen_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
10,0.4355555555555556,g5_h2_gpt54mini_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
10,0.4355555555555556,g5_h2_gemini_001,g5_h2,B,A-dominant,conflict-like,high,0.06
11,0.4355555555555556,s4_e4_qwen_001,s4_e4,B,B-dominant,indifference-like,high,1.0
11,0.4355555555555556,s4_e4_gpt54mini_001,s4_e4,B,B-dominant,conflict-like,high,1.0
11,0.4355555555555556,s4_e4_gemini_001,s4_e4,B,Underdetermined,indifference-like,high,0.31
11,0.4355555555555556,e5_g1_qwen_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
11,0.4355555555555556,e5_g1_gpt54mini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
11,0.4355555555555556,e5_g1_gemini_001,e5_g1,A,Underdetermined,indifference-like,high,0.31
11,0.4355555555555556,g5_h2_qwen_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
11,0.4355555555555556,g5_h2_gpt54mini_001,g5_h2,B,Underdetermined,indifference-like,high,0.31
11,0.4355555555555556,g5_h2_gemini_001,g5_h2,B,A-dominant,conflict-like,high,0.06
